CD_EQUI;CD_LOCAL;CD_TEMA;DS_TEMA;CD_TP_EQUIPAMENTO;DS_TP_EQUIPAMENTO;CD_SUBTIPO_EQUIPAMENTO;DS_SUBTIPO_EQUIPAMENTO;CD_DEP_ADMINISTRATIVA;DS_DEP_ADMINISTRATIVA;NM_EQUI;NM_ABREV_EQUI;CD_FONTE;FONTE_FONTE;CD_RUA;NM_RUA;CD_RUANAOOFICIAL;NM_RUANAOOFICIAL;NUMERO_EQUI;COMPLEMENTO_EQUI;CD_BAIRRO;NM_BAIRRO;QUADRICULA_BQ;CD_REGIONAL;NM_REGIONAL;LAT_SIRGAS;LON_SIRGAS;FUNCIONAMENTO_MANHA_EQUI;FUNCIONAMENTO_TARDE_EQUI;FUNCIONAMENTO_NOITE_EQUI;FUNCIONAMENTO_24HRS_EQUI;TELEFONE_EQUI;RAMAL_EQUI;EMAIL_EQUI;SITE_EQUI;FAX_EQUI
4368;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;3;P£blico Municipal;R. MATEUS LEME - 24;473;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;N008;R. MATEUS LEME;;;24;;2;S«O FRANCISCO;J12;1;Matriz;-254.274.560.556.526;-492.718.403.920.255;0;0;0;0;;;;;
4369;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;3;P£blico Municipal;CASA JO«O TURIN;Casa Jo∆o Turin;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;N008;R. MATEUS LEME;;;38;;2;S«O FRANCISCO;J12;1;Matriz;-254.273.629.156.877;-492.718.016.121.159;0;0;0;0;;;;;
4371;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;R. TREZE DE MAIO - 621;475;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;C024;R. TREZE DE MAIO;;;621;;2;S«O FRANCISCO;J12;1;Matriz;-254.268.560.150.705;-492.720.946.824.809;0;0;0;0;;;;;
4372;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;IGREJA DA ORDEM;Igreja da Ordem;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;C018M;R. DR. CLAUDINO DOS SANTOS;;;16;;2;S«O FRANCISCO;J12;1;Matriz;-254.274.889.653.875;-492.720.762.497.486;0;0;0;0;;;;;
4373;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;R. DOUTOR CLAUDINO DOS SANTOS - 90;375;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;C018M;R. DR. CLAUDINO DOS SANTOS;;;90;;2;S«O FRANCISCO;J12;1;Matriz;-254.274.117.584.419;-492.728.667.065.654;0;0;0;0;;;;;
4374;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;R. DOUTOR CLAUDINO DOS SANTOS - 112;376;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;C018M;R. DR. CLAUDINO DOS SANTOS;;;112;;2;S«O FRANCISCO;J12;1;Matriz;-254.272.348.237.609;-492.730.619.071.023;0;0;0;0;;;;;
4375;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;SOLAR DO ROSµRIO;Solar do Ros†rio;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;N010;R. DQ. DE CAXIAS;;;14;;2;S«O FRANCISCO;J12;1;Matriz;-254.272.286.617.434;-492.734.949.137.667;0;0;0;0;;;;;
4376;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;R. TREZE DE MAIO - 601;163;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;C024;R. TREZE DE MAIO;;;601;;2;S«O FRANCISCO;J12;1;Matriz;-254.269.283.507.269;-492.719.489.296.719;0;0;0;0;;;;;
4377;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;2;P£blico Estadual;TEATRO JOSê MARIA DOS SANTOS;Teatro JosÇ Maria dos Santos;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;C024;R. TREZE DE MAIO;;;655;;2;S«O FRANCISCO;J12;1;Matriz;-254.267.994.194.946;-492.725.700.840.511;0;0;0;0;;;;;
4378;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;3;P£blico Municipal;CASA HOFFMANN;Casa Hoffmann;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;C018M;R. DR. CLAUDINO DOS SANTOS;;;58;;2;S«O FRANCISCO;J12;1;Matriz;-254.274.810.763.188;-492.725.516.919.947;0;0;0;0;;;;;
4379;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;R. DUQUE DE CAXIAS - 83;172;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;N010;R. DQ. DE CAXIAS;;;83;;2;S«O FRANCISCO;J12;1;Matriz;-254.266.123.798.329;-492.735.564.915.045;0;0;0;0;;;;;
4380;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;IGREJA DO ROSµRIO;Igreja do Ros†rio;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;N012;R. TRAJANO REIS;;;174;Praáa Garibaldi.;2;S«O FRANCISCO;J12;1;Matriz;-254.271.392.282.707;-492.737.046.624.917;0;0;0;0;;;;;
4381;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;R. TRAJANO REIS - 77;303;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;N012;R. TRAJANO REIS;;;77;;2;S«O FRANCISCO;J12;1;Matriz;-254.265.201.588.081;-492.739.061.917.425;0;0;0;0;;;;;
4382;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;R. TRAJANO REIS - 47;302;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;N012;R. TRAJANO REIS;;;47;;2;S«O FRANCISCO;J12;1;Matriz;-254.268.106.199.532;-492.739.281.500.032;0;0;0;0;;;;;
4383;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;R. TRAJANO REIS - 37;301;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;N012;R. TRAJANO REIS;;;37;;2;S«O FRANCISCO;J12;1;Matriz;-254.269.447.504.596;-492.739.147.951.267;0;0;0;0;;;;;
4384;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;AV. JAIME REIS - 46;290;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;C018N;AV. JAIME REIS;;;46;;2;S«O FRANCISCO;J12;1;Matriz;-254.269.729.707.089;-492.743.790.825.253;0;0;0;0;;;;;
4385;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;AV. JAIME REIS - 54;291;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;C018N;AV. JAIME REIS;;;54;;2;S«O FRANCISCO;J12;1;Matriz;-254.270.782.735.589;-492.745.267.070.968;0;0;0;0;;;;;
4386;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;AV. JAIME REIS - 134;292;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;C018N;AV. JAIME REIS;;;134;Transversal a Rua Almirante Barroso.;2;S«O FRANCISCO;J12;1;Matriz;-254.268.645.470.906;-492.751.151.952.486;0;0;0;0;;;;;
4387;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;AV. JAIME REIS - 152;293;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;C018N;AV. JAIME REIS;;;367;;2;S«O FRANCISCO;J12;1;Matriz;-254.268.088.721.519;-492.752.787.978.145;0;0;0;0;;;;;
3566;;11;EDUCAÄ«O;23;Unidade de Educaá∆o Integral;3;Vinculado Ö Escola;3;P£blico Municipal;MARIA DE LOURDES LAMAS PEGORARO I;Maria de Lourdes Lamas Pegoraro;120;Secretaria Municipal da Educaá∆o;S980;R. ANT‚NIO MOREIRA LOPES;;;328;;21;CAJURU;P20;4;Cajuru;-254.784.204.759.452;-491.914.079.438.335;1;1;0;0;3361-2510;;;;
3575;;11;EDUCAÄ«O;23;Unidade de Educaá∆o Integral;3;Vinculado Ö Escola;3;P£blico Municipal;PR‡-MORAR BARIGUI;Pr¢-Morar Barigui;120;Secretaria Municipal da Educaá∆o;W632;R. ARTHUR MARTINS FRANCO;;;5535;;75;CIDADE INDUSTRIAL;Q6;9;CIC;-254.962.363.819.599;-49.335.428.849.118;1;1;0;0;3347-6983;;;;
3568;;11;EDUCAÄ«O;23;Unidade de Educaá∆o Integral;3;Vinculado Ö Escola;3;P£blico Municipal;OMAR SABBAG;Omar Sabbag;120;Secretaria Municipal da Educaá∆o;S911F;R. ENGA. ENEDINA ALVES MARQUES;;;167;;21;CAJURU;M18;4;Cajuru;;;1;1;0;0;3366-3773;;;;
5326;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;AV. JO«O GUALBERTO - 594;594;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;C100;AV. JO«O GUALBERTO;;;594;;15;JUVEV“;H14;1;Matriz;-254.125.612.762.515;-492.584.665.591.069;0;0;0;0;;;;;
5327;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;AV. JO«O GUALBERTO - 1654;593;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;C100;AV. JO«O GUALBERTO;;;1654;;15;JUVEV“;H14;1;Matriz;-254.137.097.149.258;-49.258.938.750.926;0;0;0;0;;;;;
5328;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;R. MATEUS LEME - 1366;573;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;N008;R. MATEUS LEME;;;1366;;3;CENTRO C÷VICO;I12;1;Matriz;-254.152.029.158.717;-492.712.214.106.628;0;0;0;0;;;;;
5331;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;R. CELESTE SANTI - 44 (589);589;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;N049B;R. CELESTE SANTI;;;44;;14;AHU;G13;1;Matriz;-254.059.644.147.461;-492.675.497.397.029;0;0;0;0;;;;;
5332;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;AV. ANITA GARIBALDI - 755;572;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;N070;AV. ANITA GARIBALDI;;;755;;14;AHU;G14;1;Matriz;-254.051.230.172.254;-492.576.747.944.616;0;0;0;0;;;;;
5333;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;2;P£blico Estadual;CORPO DE BOMBEIRO;Corpo de Bombeiro;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;E004H;AV. MUNHOZ DA ROCHA;;;1431;;16;CABRAL;G15;1;Matriz;-254.050.701.209.131;-492.470.677.830.318;0;0;0;0;;;;;
5335;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;AV. PREFEITO ERASTO GAERTNER - 659;554;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;E116;AV. PREF. ERASTO GAERTNER;;;659;;35;BACACHERI;G16;3;Boa Vista;-254.015.663.152.408;-492.406.778.385.557;0;0;0;0;;;;;
5336;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;AV. PREFEITO ERASTO GAERTNER - 1381;592;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;E116;AV. PREF. ERASTO GAERTNER;;;1381;;35;BACACHERI;G16;3;Boa Vista;-253.975.714.920.481;-492.349.209.373.306;0;0;0;0;;;;;
5337;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;AV. MANOEL RIBAS - 6052;588;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;N616;AV. MANOEL RIBAS;;;6052;Transversal a Rua Christina DreschVialle.;63;SANTA FELICIDADE;G7;5;Santa Felicidade;-254.033.730.793.373;-493.289.032.564.273;0;0;0;0;;;;;
5339;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;R. JOSê RISSETO;551;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;N728A;R. JOSê RISSETO;;;840;;63;SANTA FELICIDADE;H6;5;Santa Felicidade;-254.087.560.207.157;-493.353.205.588.183;0;0;0;0;;;;;
5340;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;3;P£blico Municipal;AV. SENADOR SALGADO FILHO;552;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;S713;AV. SEN. SALGADO FILHO;;;1050;;23;GUABIROTUBA;N15;4;Cajuru;-25.461.963.101.749;-492.490.434.668.025;0;0;0;0;;;;;
5341;;4;PATRIM‚NIO HIST‡RICO EDIFICADO;27;Unidade de Interesse de Preservaá∆o;2;Arquitetura EclÇtica;11;Particular;R. NILO PEÄANHA - 3988;556;133;Instituto de Pesquisa e Planejamento Urbano de Curitiba;N300;R. NILO PEÄANHA;;;3988;;32;PILARZINHO;E12;3;Boa Vista;-253.871.167.690.683;-492.750.131.765.491;0;0;0;0;;;;;
6412;;18;RELIGI«O;28;Igreja;6;EvangÇlica Quadrangular;11;Particular;JARDIM MERC“S - 7¶;7¶;138;Secretaria Geral de Administraá∆o e Finanáas - quadrangular;N418D;R. ANT‚NIO COSTA;;;22;;31;VISTA ALEGRE;H10;5;Santa Felicidade;-254.073.181.656.055;-492.934.849.476.615;0;0;0;0;3206-6275;;;www.pastorcarlinhos.com/setimaieq.html;
6413;;18;RELIGI«O;28;Igreja;6;EvangÇlica Quadrangular;11;Particular;JARDIM SANTA AMêLIA;Jd. Sta. AmÇlia;138;Secretaria Geral de Administraá∆o e Finanáas - quadrangular;W618;R. MAXIMILIANO BOSCARDIN;;;339;;42;FAZENDINHA;P7;2;Port∆o;-254.882.296.635.707;-493.273.260.465.581;0;0;0;0;;;;www.sgaf.org.br;
6414;;18;RELIGI«O;28;Igreja;6;EvangÇlica Quadrangular;11;Particular;JARDIM S«O FERNANDO II;Jd. S. Fernando II;138;Secretaria Geral de Administraá∆o e Finanáas - quadrangular;W744D;R. CAMPO BELO;;;142;;44;CAMPO COMPRIDO;O6;2;Port∆o;-254.746.935.974.251;-493.317.194.080.504;0;0;0;0;;;;www.sgaf.org.br;
6415;;18;RELIGI«O;28;Igreja;6;EvangÇlica Quadrangular;11;Particular;JUVEV“ - 1¶;1¶;138;Secretaria Geral de Administraá∆o e Finanáas - quadrangular;N050;R. ALBERTO FOLLONI;;;124;;15;JUVEV“;I13;1;Matriz;-254.143.246.027.415;-492.634.948.115.723;0;0;0;0;3252-7215;;;www.primeiraieq.com.br;
6416;;18;RELIGI«O;28;Igreja;6;EvangÇlica Quadrangular;11;Particular;CIC - DIADEMA I;CIC-Diadema I;138;Secretaria Geral de Administraá∆o e Finanáas - quadrangular;W651T;R. ALEXANDRE SFERELLI;;;265;;75;CIDADE INDUSTRIAL;;9;CIC;-254.901.233.640.025;-493.525.620.329.083;0;0;0;0;;;;www.sgaf.org.br;
6417;;18;RELIGI«O;28;Igreja;6;EvangÇlica Quadrangular;11;Particular;NOVO MUNDO II;Novo Mundo II;138;Secretaria Geral de Administraá∆o e Finanáas - quadrangular;S143;R. ALC÷DIO CUBAS;;;254;;41;NOVO MUNDO;P10;2;Port∆o;-25.483.868.551.841;-492.896.251.854.961;0;0;0;0;3246-0859;;;www.sgaf.org.br;
6418;;18;RELIGI«O;28;Igreja;6;EvangÇlica Quadrangular;11;Particular;ABRANCHES;Abranches;138;Secretaria Geral de Administraá∆o e Finanáas - quadrangular;N360;R. HASSAN MOHAMED RAAD;;;735;;50;ABRANCHES;C13;3;Boa Vista;-253.669.368.638.758;-492.681.497.413.345;0;0;0;0;;;;www.sgaf.org.br;
6419;;18;RELIGI«O;28;Igreja;6;EvangÇlica Quadrangular;11;Particular;BAIRRO ALTO - 32¶;32¶;138;Secretaria Geral de Administraá∆o e Finanáas - quadrangular;E366;R. VISC. DE ABAETê;;;443;;36;BAIRRO ALTO;J19;3;Boa Vista;-254.262.604.513.325;-492.015.159.217.806;0;0;0;0;3238-2228;;;www.sgaf.org.br;
6420;;18;RELIGI«O;28;Igreja;6;EvangÇlica Quadrangular;11;Particular;BAIRRO ALTO - TEMPLO DA FAM÷LIA;Templo da Fam°lia;138;Secretaria Geral de Administraá∆o e Finanáas - quadrangular;E346H;R. PERCY FELICIANO DE CASTILHO;;;578;;36;BAIRRO ALTO;I18;3;Boa Vista;-25.414.893.729.351;-492.122.495.767.535;0;0;0;0;;;;www.sgaf.org.br;
6421;;18;RELIGI«O;28;Igreja;6;EvangÇlica Quadrangular;11;Particular;ALTO BOQUEIR«O - 52¶;52¶;138;Secretaria Geral de Administraá∆o e Finanáas - quadrangular;S527;R. FRANCISCO DEROSSO;;;6441;;64;ALTO BOQUEIR«O;V16;6;Boqueir∆o;-255.351.670.691.809;-492.357.563.124.363;0;0;0;0;3378-2029;;;52ieq.blogspot.com;
6422;;18;RELIGI«O;28;Igreja;6;EvangÇlica Quadrangular;11;Particular;JARDIM SIENA;Jd. Siena;138;Secretaria Geral de Administraá∆o e Finanáas - quadrangular;S676B;R. PAULA FREITAS;;;594;;64;ALTO BOQUEIR«O;W15;6;Boqueir∆o;-25.539.961.154.718;-492.454.757.885.128;0;0;0;0;;;;www.sgaf.org.br;
6423;;18;RELIGI«O;28;Igreja;6;EvangÇlica Quadrangular;11;Particular;BACACHERI - OBRA NOVA;Obra Nova;138;Secretaria Geral de Administraá∆o e Finanáas - quadrangular;E119H;R. AVIADOR LUIZ BERGMANN;;;55;;35;BACACHERI;F16;3;Boa Vista;-253.956.698.277.498;-492.324.224.363.892;0;0;0;0;3257-2164;;;www.sgaf.org.br;
6425;;18;RELIGI«O;28;Igreja;6;EvangÇlica Quadrangular;11;Particular;BARREIRINHA;Barreirinha;138;Secretaria Geral de Administraá∆o e Finanáas - quadrangular;N237;R. AD«O CASEMIRO TROCZINSKI;;;141;;52;BARREIRINHA;C15;3;Boa Vista;-253.700.158.647.244;-492.501.679.628.946;0;0;0;0;;;;www.sgaf.org.br;
6426;;18;RELIGI«O;28;Igreja;6;EvangÇlica Quadrangular;11;Particular;BATEL;Batel;138;Secretaria Geral de Administraá∆o e Finanáas - quadrangular;W013;R. BRUNO FILGUEIRA;;;1600;Entre a Alameda Augusto Stelfeld e Travessa Silvio Van Erven.;11;BIGORRILHO;;1;Matriz;-254.358.724.710.905;-492.943.741.627.937;0;0;0;0;;;;www.sgaf.org.br;
6411;;18;RELIGI«O;28;Igreja;6;EvangÇlica Quadrangular;11;Particular;JARDIM ITµLIA;Jd. It†lia;138;Secretaria Geral de Administraá∆o e Finanáas - quadrangular;N522;R. JOSê VALLE;;;1677;;63;SANTA FELICIDADE;;5;Santa Felicidade;-253.983.899.328.253;-493.156.254.238.591;0;0;0;0;;;;www.sgaf.org.br;
